Frekvens,Ort,Län,Benämning,Kanal,Kategori,Kommentar,Band,Mode,Max Uteffekt,Kanalsteg,Övrigt,Licens,Ändrad
0.28500,Linköping,Östergötlands län,Malmen - Flygfyr, Localizer,,Flyg,285 KHz,,,,,,,Augusti 2023
0.30900,Såtenäs,Västra Götalands län,Flygfyr, Localizer,,Flyg,309 KHz,,,,,,,Augusti 2023
0.31000,Gällivare,Norrbottens län,Flygfyr, Localizer,,Flyg,310 KHz,,,,,,,Augusti 2023
0.31200,Östersund,Jämtlands län,Frösön - Flygfyr, Localizer,,Flyg,312 KHz,,,,,,,Augusti 2023
0.31200,Karlsborg,Västra Götalands län,Fyr, Non-Directional Beacon,,Flyg,312 KHz,,,,,,,Augusti 2023
0.32000,Lycksele,Västerbottens län,Flygfyr, Localizer,,Flyg,322 KHz - I drift sedan 1968,,,,,,,Augusti 2023
0.32200,Stockholm,Stockholms län,Bromma - Flygfyr, Localizer,,Flyg,322 KHz,,,,,,,Augusti 2023
0.32200,Örnsköldsvik,Västernorrlands län,Flygfyr, Localizer,,Flyg,322 KHz - I drift sedan 1970,,,,,,,Augusti 2023
0.32400,Norrköping,Östergötlands län,Kungsängen - Flygfyr, Localizer,,Flyg,324 KHz,,,,,,,Augusti 2023
0.32500,Hemavan,Västerbottens län,Flygfyr, Localizer,,Flyg,325 KHz,,,,,,,Augusti 2023
0.32500,Trollhättan,Västra Götalands län,Flygfyr, Localizer,,Flyg,325 KHz,,,,,,,Augusti 2023
0.32500,Gällivare,Norrbottens län,Flygfyr, Localizer,,Flyg,325 KHz,,,,,,,Augusti 2023
0.32600,Kramfors,Västernorrlands län,Flygfyr, Localizer,,Flyg,326 KHz - I drift sedan 1974,,,,,,,Augusti 2023
0.32700,Sveg,Jämtlands län,Flygfyr, Localizer,,Flyg,327 KHz - I drift långt före 1990,,,,,,,Augusti 2023
0.32800,Vilhelmina,Västerbottens län,Flygfyr, Localizer,,Flyg,328 KHz - I drift sedan 1987,,,,,,,Augusti 2023
0.32900,Växjö,Kronobergs län,Fyr, Non-Directional Beacon,,Flyg,329 KHz - I drift sedan 1975,,,,,,,Augusti 2023
0.32900,Umeå,Västerbottens län,Flygfyr, Localizer,,Flyg,329 KHz,,,,,,,Augusti 2023
0.33000,Karlstad,Värmlands län,Flygfyr, Localizer,,Flyg,330 KHz,,,,,,,Augusti 2023
0.33300,Lycksele,Västerbottens län,Flygfyr, Localizer,,Flyg,333 KHz,,,,,,,Augusti 2023
0.33300,Västerås,Västmanlands län,Hässlö - Flygfyr, Localizer,,Flyg,333 KHz - I drift långt före 1990,,,,,,,Augusti 2023
0.33500,Nacka,Stockholms län,Fyr, Non-Directional Beacon,,Flyg,335 KHz,,,,,,,Augusti 2023
0.33600,Halmstad,Hallands län,Flygfyr, Localizer,,Flyg,336 KHz - I drift långt före 1990,,,,,,,Augusti 2023
0.33800,Jönköping,Jönköpings län,Flygfyr, Localizer,,Flyg,338 KHz - I drift sedan 1983,,,,,,,Augusti 2023
0.34100,Karlstad,Värmlands län,Flygfyr, Localizer,,Flyg,341 KHz,,,,,,,Augusti 2023
0.34200,Göteborg,Västra Götalands län,Landvetter - Flygfyr, Localizer,,Flyg,342 KHz,,,,,,,Augusti 2023
0.34200,Hemavan,Västerbottens län,Flygfyr, Localizer,,Flyg,342 KHz,,,,,,,Augusti 2023
0.34500,Hagfors,Värmlands län,Flygfyr, Localizer,,Flyg,345 KHz,,,,,,,Augusti 2023
0.34600,Gällivare,Norrbottens län,Flygfyr, Localizer,,Flyg,346 KHz,,,,,,,Augusti 2023
0.34800,Stockholm,Stockholms län,Arlanda - Flygfyr, Localizer,,Flyg,348 KHz,,,,,,,Augusti 2023
0.34900,Växjö,Kronobergs län,Fyr, Non-Directional Beacon,,Flyg,349 KHz,,,,,,,Augusti 2023
0.35800,Arvidsjaur,Norrbottens län,Flygfyr, Localizer,,Flyg,358 KHz,,,,,,,Augusti 2023
0.36000,Kiruna,Norrbottens län,Flygfyr, Localizer,,Flyg,360 KHz,,,,,,,Augusti 2023
0.36200,Eskilstuna,Södermanlands län,Flygfyr, Localizer,,Flyg,362 KHz,,,,,,,Augusti 2023
0.36300,Kristianstad,Skåne län,Fyr, Non-Directional Beacon,,Flyg,363 KHz - I drift sedan tidigt 1980 tal,,,,,,,Augusti 2023
0.36400,Stockholm,Stockholms län,Skavsta - Flygfyr, Localizer,,Flyg,364 KHz,,,,,,,Augusti 2023
0.36600,Uppsala,Uppsala län,Flygfyr, Localizer,,Flyg,366 KHz - MIL,,,,,,,Augusti 2023
